source_id,ra,dec,parallax,parallax_error,phot_g_mean_mag
3371550165888,45.033604633031075,0.12854885339664812,1.7407954226551587,0.08848822,14.56154
3917010338944,45.08367987809025,0.16935464897837366,1.0178782483800533,0.10151903,17.389402
4020090844672,45.1266054971029,0.18291924398881243,1.4060823484992906,1.1593308,20.64228
4814659150336,44.91277856068965,0.12400437507817762,1.4318826667030564,0.09424156,17.15224
6631429670400,45.01358727252408,0.17051432674768396,3.5951642689324306,0.03967958,15.907244
8177618164608,44.95255081106136,0.241145049329655,1.1784215741451547,0.34918,19.410795
13473313244288,45.06654257913517,0.2482055353375119,2.561994724342986,0.016241822,11.142178
13743895527936,45.13221220290736,0.2638056949924001,1.8979417942820573,0.2650594,18.71046
14018774039040,45.1157167349587,0.28479599408448014,2.8049059490638713,1.0003992,
15839839838592,45.184091031487874,0.35048215573212765,2.348814789872983,0.6911864,20.079012
17351668087552,45.16900303384343,0.4057633090585405,1.2332929647961903,0.5855303,17.576918
18799072665856,44.785222446442965,0.21496908151297056,1.3063049102115045,0.15544565,18.303305
26736172221312,44.96675777715095,0.32728851955032046,1.6476822495520445,0.1629191,16.030119
29622390238720,45.12122653218362,0.46227865445510874,3.5448072839109175,0.028354332,14.526101
32710471396096,44.8905897885813,0.4796588127025244,1.7643993576334474,1.317301,20.497192
34359738843008,44.93187686266823,0.5094255905616122,2.3976055292655083,0.4550661,19.583107
36283883727872,45.30438854642995,0.34480334429447224,1.567216120491088,0.15099208,17.750437
41850161390976,45.34232104551283,0.46287031523251526,4.834408281353371,0.6013152,19.841108
47695612200832,45.569258307075636,0.6120955174162661,1.3590771514407787,1.3726922,20.712004
53841710275840,45.22724339727589,0.5512187342539815,1.9754014714404338,0.26424277,18.870535
57277684114560,45.08650794619537,0.5572644357575943,1.1022014253989614,0.21085377,18.469536
62019328996224,45.35879026699316,0.6497304381370841,3.2049207116602174,0.6322876,20.350327
68272800674944,45.35411614866336,0.7769289792605049,1.607486225443837,0.35940057,19.498789
70746701364352,44.63160391629332,0.3434898257720415,1.5299915184328976,0.02521104,13.079447
