source_id,ra,dec,parallax,parallax_error,parallax_corrected,period_days,mean_g_mag,mean_bp_mag,mean_rp_mag,g_mag_error,bp_mag_error,rp_mag_error
4156450099578283776,279.51377343258173,-8.36894716336299,0.518476588932823,0.02034218,0.548476588932823,10.341812681083045,8.86685,9.823165,7.8731704,0.03415237,0.029981324,0.08249074
5862711040048310528,193.6131042016273,-63.9353040523788,0.30870357234482565,0.019459184,0.3387035723448256,24.062339939791322,11.200543,12.98768,9.952066,0.0034232659,0.052031364,0.019012623
5332397512328481920,177.7350164689081,-65.14071211704355,0.25203400717119545,0.017163133,0.2820340071711954,4.944982117597536,11.146012,11.976557,10.242218,0.0032238,0.004466886,0.01885746
207722317998325632,80.88983072734074,44.76007592284127,0.2151235449730603,0.015190964,0.2451235449730603,2.4769620560330954,12.738015,13.435085,11.918398,0.0035350746,0.007295209,0.0025092687
5614312705966204288,117.01603522606064,-25.577770957680865,0.2330824472009733,0.01654418,0.2630824472009733,13.597380246729513,9.540547,10.125006,8.785503,0.0026708727,0.014504018,0.00755642
5973635442376616448,259.35609872277564,-37.31884253904908,0.47928899284871285,0.028500443,0.5092889928487129,16.265610206197454,9.528963,11.179938,8.295813,0.012593351,0.007977593,0.0064072288
5835124087174043136,244.71595190470393,-57.8998028272921,1.077422760007758,0.021939993,1.107422760007758,9.75441638926471,6.1654215,6.6542506,5.491594,0.004267988,0.005682909,0.003507683
430670222050230912,9.185443840729883,62.27423659630855,0.23116947636151502,0.012749081,0.261169476361515,6.239972555824355,11.720706,12.697921,10.740953,0.001265211,0.0013599278,0.0010708437
2067549118302850304,306.0805853880809,40.56106370946864,0.33069792064887654,0.017683512,0.3606979206488765,20.053370285547782,10.386857,12.121343,9.158795,0.06802341,0.086175755,0.030570606
5258574068224211200,153.886891979742,-58.17443820997405,0.3269844428413577,0.014117032,0.35698444284135766,4.932464288647911,10.250946,10.91495,9.452414,0.0013332942,0.0029964899,5.3605303E-4
3102810199992768512,103.21681100701309,-3.4116997161161775,0.2114992886065746,0.015270073,0.2414992886065746,2.106757443822954,13.216765,14.001584,12.337051,0.0034903942,0.0029283105,0.0019783978
3050050207554658048,105.24924016659969,-8.708982982716472,0.35494746098296515,0.018671352,0.3849474609829652,8.011728496318462,9.599231,10.313629,8.770786,0.0060007065,0.0053331847,0.0037226726
394818721274314112,6.581045994912247,51.28034347101264,0.991177518572784,0.023110967,1.021177518572784,2.1388677746898535,7.595734,7.9126544,7.1122265,7.174176E-5,9.849756E-5,7.9471756E-5
513282131279401728,23.91529893283694,65.33049604073416,0.23215815611239532,0.012806511,0.26215815611239535,6.557742853911396,12.471563,13.631931,11.408872,0.0022246584,0.0041562743,0.002385145
523887951723531648,11.624540673273616,63.54327283662884,0.3083867787379057,0.016221477,0.3383867787379057,5.512808474503947,11.160521,12.157927,10.164908,0.001205635,0.012235728,9.146917E-4
3454677697820598528,86.5188538959696,34.75779910466263,0.25216149068057664,0.018482415,0.2821614906805766,4.6906498206555245,12.387924,13.484027,11.347842,0.0028124268,0.003902389,0.0023561206
